Respondent,ConvertedComp,EdLevel,JobSat,DevOps,DevOpsImpt,EdImpt,Learn,OnboardGood,Overtime,OpSys,OrgSize,PlatformWorkedWith,UndergradMajor,WorkWeekHrs,YearsCode
22,,Bachelor’s degree,2,Not sure,,Very important,Every few months,Yes,Often: 1-2 days per week or more,Windows,500 to 999 employees,{},Computer science,50.0,10.0
25,,Associate degree,3,No,Extremely important,Critically important,Once every few years,Yes,Often: 1-2 days per week or more,Windows,100 to 499 employees,"{'Docker', 'Windows', 'Linux'}",Computer science,40.0,23.0
30,38778.0,Bachelor’s degree,2,No,Extremely important,Somewhat important,,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Windows,,"{'MacOS', 'Windows'}",Information system,37.0,4.0
36,77556.0,College study/no degree,4,Not sure,Neutral,Somewhat important,Every few months,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"1,000 to 4,999 employees","{'MacOS', 'Windows'}",Computer science,40.0,4.0
44,55893.0,Master’s degree,3,No,Somewhat important,Very important,Once every few years,No,Often: 1-2 days per week or more,Windows,10 to 19 employees,{'Windows'},Engineering other,45.0,10.0
47,74970.0,Other doctoral degree,5,Yes,Neutral,Not important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,10 to 19 employees,"{'Linux', 'Microsoft Azure', 'Raspberry Pi', 'Arduino', 'AWS'}",Natural science,40.0,43.0
59,16488.0,Bachelor’s degree,4,No,Somewhat important,Fairly important,Every few months,No,Never,Windows,500 to 999 employees,"{'Docker', 'MacOS'}",Computer science,40.0,24.0
69,594539.0,Master’s degree,5,Yes,Extremely important,Very important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,MacOS,20 to 99 employees,"{'Microsoft Azure', 'Linux'}",Computer science,40.0,13.0
77,,Other doctoral degree,1,Not sure,Neutral,Critically important,Once a year,Yes,Often: 1-2 days per week or more,Linux-based,100 to 499 employees,"{'Linux', 'MacOS', 'Raspberry Pi', 'Docker', 'Windows'}",Computer science,60.0,30.0
104,,Bachelor’s degree,4,No,Extremely important,Fairly important,Every few months,No,Often: 1-2 days per week or more,Linux-based,20 to 99 employees,"{'Windows', 'Linux'}",Information system,,10.0
112,65000.0,Master’s degree,4,Not sure,Neutral,Fairly important,Every few months,Yes,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'MacOS', 'Windows', 'AWS'}",Information system,40.0,11.0
115,78800.0,Bachelor’s degree,5,Yes,Extremely important,Very important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,MacOS,"5,000 to 9,999 employees","{'Docker', 'Slack Apps and Integrations', 'AWS'}",Computer science,39.0,9.0
125,2000000.0,Other doctoral degree,5,Not sure,Neutral,Critically important,Once every few years,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"5,000 to 9,999 employees",{'Docker'},,40.0,11.0
130,,Secondary school,5,No,Not very important,Not important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Windows,2 to 9 employees,"{'WordPress', 'Microsoft Azure', 'Android', 'Raspberry Pi', 'iOS', 'Windows'}",,,8.0
135,,Bachelor’s degree,5,No,Extremely important,Not important,Every few months,,,MacOS,2 to 9 employees,"{'MacOS', 'AWS'}",Business,,35.0
147,37816.0,Bachelor’s degree,5,No,Somewhat important,Very important,Once a year,Onboarding? What onboarding?,Rarely: 1-2 days per year or less,Windows,2 to 9 employees,{},Engineering other,40.0,5.0
149,293196.0,Bachelor’s degree,5,Not sure,Neutral,Critically important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,500 to 999 employees,{'Linux'},Computer science,70.0,5.0
150,300000.0,Bachelor’s degree,2,Yes,Extremely important,Somewhat important,Once a year,Yes,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,10 to 19 employees,"{'Docker', 'Linux', 'Kubernetes', 'AWS'}",Computer science,40.0,23.0
152,121980.0,Master’s degree,5,No,Extremely important,Fairly important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,2 to 9 employees,"{'Linux', 'Raspberry Pi', 'Kubernetes', 'Docker', 'Windows'}",Math or stats,40.0,14.0
