Respondent,Linux,Windows,Docker,Github,Slack,Jira,Overtime,EdLevel,JobSeek,DevOps,EdImpt,OpSys,OnboardGood,DevOpsImpt,OrgSize,UndergradMajor,PurchaseWhat,Learn,ConvertedComp,WorkWeekHrs,YearsCode
43724,1,0,0,1,0,0,0.0,9.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,7.0,1.0,0.0,-0.44429466168934956,-1.0517918806157613,-0.9667459640146607
32280,1,0,1,1,1,1,1.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,3.0,10.0,3.0,3.0,-0.06719475836369938,-0.11091421545396787,1.4694542550755327
46750,0,0,0,1,1,1,1.0,3.0,2.0,2.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,2.0,-0.14109275369379937,0.06550034676386837,0.20263014114863218
30123,0,1,0,1,0,0,1.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,8.0,2.0,3.0,2.0,0.029931937358611514,-0.11091421545396787,2.541382351475218
26657,1,1,1,1,1,1,4.0,1.0,0.0,2.0,1.0,3.0,2.0,4.0,2.0,6.0,1.0,0.0,-0.38642717716168157,-0.11091421545396787,0.49497416743945544
3420,1,1,0,1,0,0,2.0,3.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,-0.26953870343137554,0.18311005490909255,0.10518213238502444
14136,1,0,0,1,0,0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,3.0,-0.35929178072792256,-0.11091421545396787,2.4439343427116103
27088,1,0,0,0,0,0,2.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,-0.44660167103928977,-1.58103556726927,-0.479505920196622
4773,1,1,1,1,1,1,2.0,3.0,2.0,2.0,4.0,1.0,2.0,1.0,7.0,2.0,2.0,2.0,-0.35060524968946694,0.477134325272153,0.0077341236214167
22634,1,1,0,1,0,0,0.0,1.0,2.0,3.0,1.0,3.0,1.0,5.0,5.0,12.0,2.0,3.0,-0.1472992496810692,-0.11091421545396787,2.4439343427116103
409,0,1,0,1,1,1,0.0,3.0,0.0,0.0,4.0,3.0,1.0,4.0,5.0,2.0,2.0,0.0,-0.3120501569735037,-0.22852392359919205,0.10518213238502444
57975,0,1,0,0,0,1,4.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,4.0,7.0,0.0,0.0,-0.29289717309952057,-0.11091421545396787,-0.6744019377238375
